,question,answer,doc num,sentences num,answer sentence
35,What was the name of the East German armed forces?,the National People's Army,3,1,"One of the founding members, East Germany was allowed to re-arm by the Soviet Union and the National People's Army was established as the armed forces of the country to counter the rearmament of West Germany."
36,What are some of the findings that support their argument?,quantum mechanics and chaos theory.,0,0,n/a
37,What does 基督徒 (pinyin: jīdū tú) mean?,Christ follower,0,0,n/a
38,What label for the Greek market were artists on under the Sony umbrella?,Feelgood Records,0,0,n/a
39,Which airport is the busiest?,Will Rogers World Airport,0,0,n/a
40,What group arrangement is usual in family authority?,matrilocal,0,0,n/a
41,Controversy regarding these accusations has caused conflict with how many presidential administrations?,three,0,0,n/a
42,To what position was Malenkov demoted?,deputy Prime Minister,1,1,"On February 8, 1955, Malenkov was officially demoted to deputy Prime Minister."
43,What city did Bell arrive at by train?,Paris,1,2,"After landing at Quebec City the Bells transferred to another steamer to Montreal and then boarded a train to Paris, Ontario, to stay with the Reverend Thomas Henderson, a family friend."
44,At what establishment was the circular bar introduced?,Swindon station pub,0,0,n/a
45,"who is served by dial-up, dsl, adsl, cable modems, or isdns?",users and small businesses,2,1,"For users and small businesses, traditional options include copper wires to provide dial-up, DSL, typically asymmetric digital subscriber line (ADSL), cable modem or Integrated Services Digital Network (ISDN) (typically basic rate interface)."
46,When did Outcault's The Yellow Kid appear in newspapers?,1890s,5,2,"Europeans have seen their tradition as beginning with the Swiss Rodolphe Töpffer from as early as 1827 and Americans have seen the origin of theirs in Richard F. Outcault's 1890s newspaper strip The Yellow Kid, though many Americans have come to recognize Töpffer's precedence."
47,What % of people are employed in the private sector in Saint Helena?,45,0,0,n/a
48,"Whether a stop was labial, coronal or velar depended on what two things?",dialect and phonetic environment,0,0,n/a
49,What year was the first nickel hydrogen battery used?,1977,1,1,The nickel hydrogen battery was used for the first time in 1977 aboard the U.S. Navy's Navigation technology satellite-2 (NTS-2).
50,Which of two Voskhod 2's occupants was almost killed?,Alexey Leonov,0,0,n/a
51,What is it called when content is changed from markup to an interactive document?,rendering,2,1,"is passed to the browser's layout engine to be transformed from markup to an interactive document, a process known as ""rendering""."
52,"In 2007, what was the reported resolution of the BeiDou system?",as high as 0.5 metres,1,1,"In 2007, the official Xinhua News Agency reported that the resolution of the BeiDou system was as high as 0.5 metres."
53,What is the Arabic term meaning canon?,Qanun,0,0,n/a
54,"What type of services were offered in Somali, Amharic, and Oromo?",home service,0,0,n/a
55,How many verbs are in the third conjugation?,700,2,2,"Only the first conjugation is nowadays productive (with about 3500 common verbs), whereas the third (the subtype of servir, with about 700 common verbs) is semiproductive."
56,WBUR and WGBH are exaples of what type of radio station?,NPR,0,0,n/a
57,Who was a notable talent agent circa 1950?,Lew Wasserman,0,0,n/a
58,What is the technique Aavic used to create Estonian words out of nothing?,creations ex nihilo,0,0,n/a
59,How many sheets of A1 paper would cover one single piece of A0 paper?,2,1,2,"For example, a ream of 20 lb, 8.5 in × 11 in (216 mm × 279 mm) paper weighs 5 pounds, because it has been cut from a larger sheet into four pieces."
60,"Along with smooth soul and quiet storm, what genre influenced adult contemporary R&B?",Philly soul,1,1,"As the use of drum machines, synthesizers, and sequencers dominates R&B-rooted music, adult contemporary R&B tends to take most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and quiet storm."
61,"Along with energy crisis, what other significant historical event led to countries adopting DST?",war,0,0,n/a
62,What country did Pringle cite as having homes with better proportions than those found in the UK?,Holland,0,0,n/a
63,In what year did NARA become an independent agency?,1985,1,1,The National Archives was incorporated with GSA in 1949; in 1985 it became an independent agency as NARA (National Archives and Records Administration).
64,What is the population of the island?,267,1,2,The island has a population of 267 as of January 2016.
65,What division of the University of Kansas contributed to the development of the internet?,academic computing,0,0,n/a
66,During what dynasty did Nanjing become a thriving textile city?,the Song dynasty,0,0,n/a
67,What model of ownership is commonly used in American professional sports?,franchise model,3,1,"Prior to that, the league followed the franchise model more common in North American professional sports leagues; each team essentially operated as its own business and the league itself was a separate entity which in exchange for franchise fees paid by the team owners provided rules, officials, scheduling and the other elements of organizational structure."
68,At its founding. what was the official language of the Republic of China?,Standard Mandarin,1,1,"With the founding of the Republic of China, Standard Mandarin was designated as the official language, based on the spoken language of Beijing."
69,Who holds the legislative power?,The City Parliament,0,0,n/a
70,How many bells make up the abbey ring?,Ten,2,2,"Outside of kayfabe, this is done to give wrestlers a break from the action (as these matches tend to go on for long periods of time), and to make the action in the ring easier to choreograph."
71,The potential for corruption in public spending are one of the arguments that favor what?,privatization and deregulation,0,0,n/a
72,What was less standardized during the Baroque era?,the types of instruments used in ensembles,1,2,One major difference between Baroque music and the classical era that followed it is that the types of instruments used in ensembles were much less standardized.
73,What were some of the multi-ethnic confederacies of Eurasia?,"the Sarmatian, Hun and Gothic empires",0,0,n/a
74,What kind of engineering does industry in Southampton support?,electrical,0,0,n/a
75,A protocol may either amend a previous treaty or do what?,add additional provisions,1,1,"A protocol can amend the previous treaty, or add additional provisions."
76,Who wrote a book about Tito questioning his true origin?,Aleksandar Matunović,1,1,"Tito's personal doctor, Aleksandar Matunović, wrote a book about Tito in which he also questioned his true origin, noting that Tito's habits and lifestyle could only mean that he was from an aristocratic family."
77,In what month and year did the Marshall Islands declare the largest shark sanctuary in the world?,October 2011,0,0,n/a
78,Were the szlachta obscure and mysterious or obvious and proud.,obscurity and mystery,0,0,n/a
79,What other career did Virgil consider?,rhetoric and law,1,2,"After considering briefly a career in rhetoric and law, the young Virgil turned his talents to poetry."
80,Who ordered the construction of a paved road?,Napoléon Bonaparte,0,0,n/a
81,What is known as the 3' end?,an exposed hydroxyl group on the deoxyribose,0,0,n/a
82,What type of secondary schools does Guinea-Bissau have?,general as well as technical,1,1,"Guinea-Bissau has several secondary schools (general as well as technical) and a number of universities, to which an institutionally autonomous Faculty of Law as well as a Faculty of Medicine have been added."
83,In which neighborhood is the Manhattanville Bus Depot?,Manhattanville,4,1,The Manhattanville Bus Depot (formerly known as the 132nd Street Bus Depot) is located on West 132nd and 133rd Street between Broadway and Riverside Drive in the Manhattanville neighborhood.
84,Which group of animals have brains 5-10 times larger than the formula predicts?,primates,5,2,"In intelligent mammals, such as primates, the cerebrum is larger relative to the rest of the brain."
85,Where was the Roman emperor's capital?,Constantinople,0,0,n/a
86,When was the case against the Gang of Four?,1980,0,0,n/a
87,Who are two of the Assistant Chiefs of the Defence Staff?,Assistant Chief of the Defence Staff (Reserves and Cadets) and the Defence Services Secretary in the Royal Household of the Sovereign of the United Kingdom,0,0,n/a
88,How many major HDTV systems were tested by SMPTE in the late 70's?,four,5,1,The four-rail system solves the problem.
89,What has been the primary purpose of wood for millennia other than fuel?,construction material,1,1,"People have used wood for millennia for many purposes, primarily as a fuel or as a construction material for making houses, tools, weapons, furniture, packaging, artworks, and paper."
90,In what year did Sanchez publish his study on Somali ethnicity?,2005,0,0,n/a
91,"According to a misconception, what did the rise of Christianity destroy?",ancient science,3,1,"Other misconceptions such as ""the Church prohibited autopsies and dissections during the Middle Ages"", ""the rise of Christianity killed off ancient science"", or ""the medieval Christian church suppressed the growth of natural philosophy"", are all cited by Numbers as examples of widely popular myths that still pass as historical truth, although they are not supported by current historical research."
92,Stress and intonation are studied under what topic?,prosody,2,2,"Phonology also includes topics such as phonotactics (the phonological constraints on what sounds can appear in what positions in a given language) and phonological alternation (how the pronunciation of a sound changes through the application of phonological rules, sometimes in a given order which can be feeding or bleeding,) as well as prosody, the study of suprasegmentals and topics such as stress and intonation."
93,Billions of instructions per second are called what in computer terms?,(gigaflops),1,1,A typical modern computer can execute billions of instructions per second (gigaflops) and rarely makes a mistake over many years of operation.
94,What town had it's own black community?,Ulcinj,1,1,"Due to the Ottoman slave trade that had flourished in the Balkans, the coastal town of Ulcinj in Montenegro had its own black community."
95,What is the name of the section that features football on Mondays in The Times?,The Game,5,1,The Northwestern University Marching Band (NUMB) performs at all home football games and leads cheers in the student section and performs the Alma Mater at the end of the game.
96,On which date is the annual Republic Day parade held in New Delhi?,26 January,1,1,The annual Republic Day parade takes place here on 26 January.
97,Which directions were the Swallows flying?,northward,0,0,n/a
98,Who was the creator of salt water taffy?,David Bradley,0,0,n/a
99,What are the four factors that determine how the body reacts to an antigen?,"person's age, antigen type, maternal factors and the area",0,0,n/a
100,The initial work was aimed at determining critical ratios and what else?,critical bandwidths,0,0,n/a
101,Why were DJs inspired to create their own house records?,differentiate the clubs and DJs,0,0,n/a
102,Why are uppercase letters preferred often times when space is restricted?,easier to distinguish than lowercase,0,0,n/a
103,The Porfiriato ended in which year?,1910,1,2,The end of the Porfiriato came in 1910 with the beginning of the Mexican Revolution.
104,What is the point of conflict between Sunni and Shia?,the word 'Mawla',1,1,The major point of conflict between the Sunni and the Shia is in the interpretation of the word 'Mawla'.
105,A440 in linear pitch are what size?,69,1,1,"This creates a linear pitch space in which octaves have size 12, semitones (the distance between adjacent keys on the piano keyboard) have size 1, and A440 is assigned the number 69."
106,In what year did Capello resign as England's football manager?,2012,0,0,n/a
107,"Until 2010, which airline made Houston its headquarters?",Continental Airlines,0,0,n/a
108,What country was the top producer of copper in 2005?,Chile,1,1,"According to the British Geological Survey, in 2005, Chile was the top mine producer of copper with at least one-third world share followed by the United States, Indonesia and Peru."
109,Modern concerns with ethnicity and social movements in the 1970's led what group to be more interested in identity?,anthropologists,1,2,"In the same way as Barth, in his approach to ethnicity, advocated the critical focus for investigation as being ""the ethnic boundary that defines the group rather than the cultural stuff that it encloses"" (1969:15), social anthropologists such as Cohen and Bray have shifted the focus of analytical study from identity to the boundaries that are used for purposes of identification."
110,Who assists the Superintendent of Police?,the officers of the Himachal Police Service and other Himachal Police officials.,4,2,He is assisted by the officers of the Himachal Police Service and other Himachal Police officials.
111,What describes communication as creative and dynamic rather than discrete?,Theories of coregulation,1,1,"[citation needed]
Theories of coregulation describe communication as a creative and dynamic continuous process, rather than a discrete exchange of information."
112,What species of grape are grown by Black Monukka?,Vitis vinifera,0,0,n/a
113,When did Public Safety Canada unveil Canada's Cyber Security Strategy?,"October 3, 2010",0,0,n/a
114,What overlaps significantly with Hasidic Judiasm?,Haredi Judaism,1,1,"Hasidic or Chasidic Judaism overlaps significantly with Haredi Judaism in its engagement with the secular and commercial world, and in regard to social issues."
115,What are some examples of non-bilaterian animals?,"Porifera, Ctenophora, Cnidaria and Placozoa",0,0,n/a
116,When is a beer at its most flavorful?,unchilled,0,0,n/a
117,"Prior to 1997, where were racial categories declared for the U.S. Census?",OMB directive no. 15,0,0,n/a
118,Which inscription was eliminated due to the Statue of Liberty being added to the coin?,"""Liberty""",1,1,"The inscription ""Liberty"" has been eliminated, with the Statue of Liberty serving as a sufficient replacement."
119,Why was the Royal College of Chemistry founded?,in the United Kingdom the teaching of chemistry in particular had fallen behind that in Germany,0,0,n/a
120,How many rivers run through Hanover?,two,0,0,n/a
121,How many emotional categories did Turner recognize as being founded on human neurology?,four,1,2,"Based on this analysis, he identified four emotions that all researchers consider being founded on human neurology including assertive-anger, aversion-fear, satisfaction-happiness, and disappointment-sadness."
122,What nickname is used for Everton's club supporters?,Evertonians,1,1,The club's supporters are known as Evertonians.
123,When did Alfred the Great's reign begin?,871,0,0,n/a
124,What purpose were excort carriers developed for?,to provide defense for convoys of ships,1,1,"By comparison, escort carriers were developed to provide defense for convoys of ships."
125,A heavy penalty for violating FAA reulations could said to be do what?,impact their ability to continue operating,1,1,"For example, to levy a heavy penalty upon an airline for violating an FAA regulation which would impact their ability to continue operating would not be considered encouraging aerospace travel."
126,Whos flag officially is a red rose on a white field?,Montrose in Scotland,0,0,n/a
127,What types of species are thought to still have been dominate until after the extinction?,cycad and ferns,1,1,"By the end of the Cretaceous, angiosperms dominated tree floras in many areas, although some evidence suggests that biomass was still dominated by cycad and ferns until after the Cretaceous–Paleogene extinction."
128,In what US state did a rural area use videoconferencing to help reduce the number of transfers of sick infants to hospitals? ,Ohio,1,1,"For example, a rural medical center in Ohio, United States, used videoconferencing to successfully cut the number of transfers of sick infants to a hospital 70 miles (110 km) away."
129,When did the First Council of Nicaea rule that Easter be celebrated by all Christians?,on the same day,1,1,"Although a recommendation of the First Council of Nicaea in 325 specified that all Christians should celebrate Easter on the same day, it took almost five centuries before virtually all Christians achieved that objective by adopting the rules of the Church of Alexandria (see Easter for the issues which arose)."
130,What was the original user interface for the 360 called?,Xbox 360 Dashboard,0,0,n/a
131,What treaty with England conflicted with the United States' Treaty of Alliance with France?,the Jay Treaty,0,0,n/a
132,When did Motley Crue's album Shout At The Devil come out?,1983,1,1,"This was followed by US acts like Mötley Crüe, with their albums Too Fast for Love (1981) and Shout at the Devil (1983) and, as the style grew, the arrival of bands such as Ratt, White Lion, Twisted Sister and Quiet Riot."
133,who brought the term great plains into widespread usage?,Nevin Fenneman's,1,1,"Nevin Fenneman's 1916 study, Physiographic Subdivision of the United States, brought the term Great Plains into more widespread usage."
134,"Along with the emission peaks and vs. bands mechanisms, what other physical mechanism is used to define near-infrared?",water absorption,1,1,"Other definitions follow different physical mechanisms (emission peaks, vs. bands, water absorption) and the newest follow technical reasons (the common silicon detectors are sensitive to about 1,050 nm, while InGaAs's sensitivity starts around 950 nm and ends between 1,700 and 2,600 nm, depending on the specific configuration)."
135,What type of biodiversity happens near the equator?,Terrestrial biodiversity,1,1,"Terrestrial biodiversity tends to be greater near the equator, which seems to be the result of the warm climate and high primary productivity."
136,Why was the code patterned so that most codes were together?,for ease of identification,1,1,"The code itself was patterned so that most control codes were together, and all graphic codes were together, for ease of identification."
137,What does every stpe of digestion require?,energy,0,0,n/a
138,What is a round-off entry vault called?,Yurchenko,1,1,"A round-off entry vault, called a Yurchenko, is the most common vault in elite level gymnastics."
139,"At this time, what type of players were added to Barcelona?",international,0,0,n/a
140,Is the RICO Act still used today?,The RICO Act is still used,3,1,The RICO Act is still used today for all organized crime and any individuals who might fall under the Act.
141,Which Gospel writer provided a version of the virgin birth that was different than Matthew's?,Luke,0,0,n/a
142,Who oversees education in Melbourne?,Victorian Department of Education and Early Childhood Development (DEECD),0,0,n/a
143,How many legitimate children did John have?,five,1,1,"John had five legitimate children, all by Isabella."
144,What did the iMac need to use in order to write CDs or other media?,external third-party hardware,2,2,"It replaced a floppy disk drive with a CD-ROM drive for installing software, but was incapable of writing to CDs or other media without external third-party hardware."
145,"In addition to sensors and technical fire control, and weapons, what else did air defence evolution cover?",command and control,1,1,"Air defence evolution covered the areas of sensors and technical fire control, weapons, and command and control."
146,Which composer featured Sanskrit music in his movies?,John Williams,1,1,Composer John Williams featured choirs singing in Sanskrit for Indiana Jones and the Temple of Doom and in Star Wars: Episode I – The Phantom Menace.
147,Who was expelled from Valencia after James I's victory?,the Muslim population,0,0,n/a
148,Who provided financial backing for the Edison Lighting Company?,J.P. Morgan and the Vanderbilt family,0,0,n/a
149,How many military services beling to the Department of Defense?,four,0,0,n/a
150,What was the date on which jFarve and Bismarck met?,24 January,0,0,n/a
151,Identity achievement rarely occurs before what age?,18,4,2,"For every 100 females age 18 and over, there were 91.3 males."
152,During what season does the emperor penguin breed?,winter,0,0,n/a
153,What was the Eritrean region known as during the Middle Ages?,Medri Bahri,1,1,"During the Middle Ages, the Eritrea region was known as Medri Bahri (""sea-land"")."
154,How many times more abundant than silver is uranium in the Earth's crust?,40,1,1,"Uranium's average concentration in the Earth's crust is (depending on the reference) 2 to 4 parts per million, or about 40 times as abundant as silver."
155,Who established the chivalry of british constiutional monarchy?,King George V,0,0,n/a
156,Where is the primary circadian gene located in humans?,suprachiasmatic nucleus,1,2,"The primary circadian ""clock"" in mammals is located in the suprachiasmatic nucleus (or nuclei) (SCN), a pair of distinct groups of cells located in the hypothalamus."
157,Where did Elizabeth visit on her first solo public appearance?,Grenadier Guards,1,1,"In 1943, at the age of 16, Elizabeth undertook her first solo public appearance on a visit to the Grenadier Guards, of which she had been appointed colonel the previous year."
158,What issues to Savin address during this talk?,"basing findings regarding sexual orientation on a single component, researchers may not actually capture the intended population",0,0,n/a
159,How many committees are appointed by the board of directors at Dell?,five,1,1,The board of directors usually sets up five committees having oversight over specific matters.
160,"What state's law mandated that executions occur in """"room or place enclosed from public view""?",New Mexico's,0,0,n/a
161,Jonathon Israel rejects the notion that the revolutionary ideas were by products of what transformations?,social and economic,0,0,n/a
162,How much does the NES unit weigh in pounds?,11.7,1,2,The unit itself weighs approximately 11.7 pounds without a TV.
163,Who succeeded the Emperor Constantius?,Julian,1,1,"The Emperor Constantius, who had been the cause of so much trouble, died 4 November, 361 and was succeeded by Julian."
164,What type of land area is at most risk of earthquake damage?,reclaimed land,0,0,n/a
165,Is it important to know how information is coded in the brain?,that is crucial,2,1,One question that is crucial in cognitive neuroscience is how information and mental experiences are coded and represented in the brain.
166,What cause wives to be unable to move to the US with their Chinese husbands after 1882?,the Chinese Exclusion Act,0,0,n/a
167,What did a 2013 study of Ashkenazi mitochondrial DNA find in regards to the Khazar descent idea?,no significant evidence of Khazar contribution to the Ashkenazi Jewish DNA,0,0,n/a
168,What is the name of the process in which possible drugs are discovered?,Drug discovery,1,2,"For his ""pioneering research into a new class of molecules"" for ""lowering cholesterol,""[sentence fragment]
Drug discovery is the process by which potential drugs are discovered or designed."
169,Along what highway did Umar bin Abdul-Aziz build caravanserais?,Khurasan,1,1,Umar bin Abdul-Aziz developed it further by building caravanserais at stages along the Khurasan highway.
170,What is the French term for natural asphalt?,asphalte,0,0,n/a
171,What did Victoria wear upon her death in her coffin? ,She was dressed in a white dress and her wedding veil,0,0,n/a
172,What is not allowed when Grand Lodges are not in amity? ,inter-visitation,1,1,"When two Grand Lodges are not in amity, inter-visitation is not allowed."
173,When did the Israel national football team qualify to the FIFA World Cup?,1970,4,1,"In 1964 Israel hosted and won the Asian Nations Cup; in 1970 the Israel national football team managed to qualify to the FIFA World Cup, which is still considered[by whom?]"
174,The Parthian Empire worshipped Greek Gods and what other cultures deities?,Iranian,2,1,The Parthians continued worhipping Greek gods syncretized together with Iranian deities.
175,What did the office that ijm opened do specifically ,"conducting undercover investigations, training law enforcement, rescuing victims, ensuring appropriate aftercare, and seeking perpetrator accountability"".",0,0,n/a
176,What year did the Colorados defeat Oribe?,1851,1,1,"Finally, in 1851, with the additional support of Argentine rebels who opposed Rosas, the Colorados defeated Oribe."
177,What is the Europeon model of the poultry business ?,the European Union supply chain model seeks to supply products which can be traced back to the farm of origin,0,0,n/a
178,What's the name of the river that marks a dialect divide in the Netherlands?,IJssel,0,0,n/a
179,Where are the Queen and Prince Phillip's apartments located?,the north wing,3,1,The Queen and Prince Philip use a smaller suite of rooms in the north wing.
180,Why does water increase lamp darkening?,"The oxygen attacks the tungsten metal, and the resulting tungsten oxide particles travel to cooler parts of the lamp.",0,0,n/a
181,Which fan club is closely allied to the Arsenal club?,Arsenal Football Supporters' Club,0,0,n/a
182,What property of clothing is important in cold climates?,thermal insulation,1,1,"In hot climates, clothing provides protection from sunburn or wind damage, while in cold climates its thermal insulation properties are generally more important."
183,Who was the first team to play in three consecutive Fall Classics?,The Cubs,3,1,"The Cubs won back-to-back World Series championships in 1907 and 1908, becoming the first Major League team to play in three consecutive Fall Classics, and the first to win it twice."
184,Why was the US not able to provide an adequate response to the Korean invasion?,defense budget cutbacks,0,0,n/a
185,Who did a study in 2007 regarding the five countries with the highest rates of software piracy?,BSA and International Data Corporation,2,1,"According to a 2007 BSA and International Data Corporation (IDC) study, the five countries with the highest rates of software piracy were: 1."
186,Greece's plant distribution belongs to what?,the Boreal Kingdom,1,1,"Phytogeographically, Greece belongs to the Boreal Kingdom and is shared between the East Mediterranean province of the Mediterranean Region and the Illyrian province of the Circumboreal Region."
187,What amount had Royal Dutch Shell invested in the project by the end of 2012?,nearly US$5 billion,1,1,Royal Dutch Shell had invested nearly US$5 billion by this stage of the project.
188,Which mammal is the smallest?,bumblebee bat,0,0,n/a
189,what general played the biggest role in the capture of the seven Dutch East Indiamen?,General Goddard,2,1,"Lastly, on 15 June 1795, the General Goddard played a large role in the capture of seven Dutch East Indiamen off St Helena."
190,What is an example of the Min Nan Texts?,Doctrina Christiana en letra y lengua china,0,0,n/a
191,How do the wrestlers treat the audience?,The audience is recognized and acknowledged by the performers as spectators,0,0,n/a
192,What standards changed what Japanese camera makers have to specify?,CIPA DC-004,0,0,n/a
193,Where does Cirque du Soleil go in Mexico City?,Carpa Santa Fe,1,1,"The Cirque du Soleil has held several seasons at the Carpa Santa Fe, in the Santa Fe district in the western part of the city."
194,The Concodat restored significant power to what position?,the papacy,0,0,n/a
195,What century did King Charlemagne reign? ,9th,2,2,The Magyars settled Hungary around 900 under King Árpád (d. c. 907) after a series of invasions in the 9th century.
196,Which Island in Southeast Asia is densely populated?,Java,0,0,n/a
197,What is the stated mission of BYU?,"""is to assist individuals in their quest for perfection and eternal life.""",1,1,"BYU's stated mission ""is to assist individuals in their quest for perfection and eternal life."""
198,"What store was founded in Paris, in 1838, which sold a wide variety of products? ",Au Bon Marché,0,0,n/a
199,What type of company was Napster?,file-sharing,0,0,n/a
200,What did many black migrate from florida ,"response to segregation, disfranchisement and agricultural depression, many African Americans migrated from Florida to northern cities",0,0,n/a
201,What was Brian May's zodiac sign?,Cancer,0,0,n/a
202,What was the name of the group that was created whenPresbyterian Church of England (PCofE) united with the Congregational Church in England and Wales were united?,United Reformed Church,2,1,"In 1972, the Presbyterian Church of England (PCofE) united with the Congregational Church in England and Wales to form the United Reformed Church (URC)."
203,When were three additional roads built?,during the 1990s and 2000s,0,0,n/a
204,What term is used for predators and prey being well suited to hunt and evade each other?,evolutionary arms race,4,2,"Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations."
205,During what era did newsstand distribution begin to tail off markedly for Marvel?,the mid-1970s,1,1,In the mid-1970s a decline of the newsstand distribution network affected Marvel.
206,When did James I negotiate the Treaty of London?,1604,0,0,n/a
207,What is this kind of introduction and transfer used for?,creation of genetically modified crops,0,0,n/a
208,When did Madonna's album demo leaked online?,December 2014,1,1,"In December 2014, thirteen demos recorded for the album leaked onto the Internet."
209,Regulations normally carry the force of what?,law,4,2,"Under the principle of Chevron deference, regulations normally carry the force of law as long as they are based on a reasonable interpretation of the relevant statutes."
210,What other countries were in disagreement with the United Nations decision on Burma ?,South Africa,0,0,n/a
211,What is the rate of interreligious marriage in the United Kingdom?,53%,0,0,n/a
212,Until what event did the ancient methods of spinning and fabrication of cotton last?,industrialization,1,1,"Cotton cultivation in the region is dated to the Indus Valley Civilization, which covered parts of modern eastern Pakistan and northwestern India between 3300 and 1300 BCE The Indus cotton industry was well-developed and some methods used in cotton spinning and fabrication continued to be used until the industrialization of India."
213,What is used for CD ripping?,audio compression,0,0,n/a
214,When is the weekly Mail forecast to pass The Sun in terms of circulation?,during 2016,0,0,n/a
215,What is the main way that peticides perform their function?,by poisoning pests,0,0,n/a
216,How many counties had no casualties in WW1 ,"only nine, described as the Thankful Villages, had none of their residents killed",0,0,n/a
217,Which Yale president assisted with New Haven's revitalization efforts?,President Levin,1,1,"Under President Levin, Yale has financially supported many of New Haven's efforts to reinvigorate the city."
218,What was the result of the Hungarian nobility's refusal to accept Sigismund claim as Louis' heir?,internal war,2,1,"The Hungarian nobility did not accept his claim, and the result was an internal war."
219,How many voting members are there in the city- council?,11,1,2,The City Council has 11 voting members: the mayor and 10 city council members.
220,Who is a projecting Lady Chapel dedicated to?,the Virgin Mary,1,1,"It is often square ended or has a projecting Lady Chapel, dedicated to the Virgin Mary."
221,What was Gertrude Stein's brother's name?,Leo,0,0,n/a
222,What was one of the defining ideological movements of the Twentieth Century?,The Marxist critique of capitalism,0,0,n/a
223,When did Benjamin Huntsman begin to melt blister steel in a crucible,1740,1,1,"In 1740, Benjamin Huntsman began melting blister steel in a crucible to even out the carbon content, creating the first process for the mass production of tool steel."
224,When did N Force leave Norfolk Island during the time of World War II?,February 1944,1,1,The island proved too remote to come under attack during the war and N Force left the island in February 1944.
225,When was Burke's final publication?,October 1796,0,0,n/a
226,What genre of music greatly influenced the culture in Samoa?,Hip hop,1,2,"Other successful Samoan hip hop artists include rapper Scribe, Dei Hamo, Savage and Tha Feelstyle whose music video Suamalie was filmed in Samoa."
227,What was Giovanni's mother descended from?,rural nobility,4,1,"His mother was Giudetta Alghisi, from a family of rural nobility."
228,Who broke the world record set by Jacobi's first motor?,Jacobi himself,1,1,His motor set a world record which was improved only four years later in September 1838 by Jacobi himself.
229,What do some news commentators claim is violated by the restricted immigration proposal?,bilateral agreements on the free movement of persons,0,0,n/a
230,Who was president during the March protests?,Moussa Traoré,0,0,n/a
231,What frames Midtown Raleigh?,"Glenwood/Creedmoor Road to the West, Wake Forest Road to the East, and Millbrook Road",0,0,n/a
232,"Other than time consuming, what else are nutritional studies due to their length and variable count?",expensive,5,1,"If through traffic is to have any benefit, time consuming engine switches must occur to make such connections or expensive dual mode engines must be used."
233,Who was given the special role of guardian over the Orthodox Christians in Moldavia and Wallachia?,Russia,3,2,The Russians evacuated Wallachia and Moldavia in late July 1854.
